,created_time,yes_price_dollars,no_price_dollars
0,2025-11-30 16:50:45.369561-05:00,0.135,0.865
1,2025-11-30 16:50:48.551020-05:00,0.14,0.86
2,2025-11-30 16:54:59.278344-05:00,0.14,0.86
3,2025-11-30 16:55:34.237662-05:00,0.14,0.86
4,2025-11-30 16:56:37.909748-05:00,0.135,0.865
5,2025-11-30 16:59:50.340992-05:00,0.135,0.865
6,2025-11-30 17:02:55.402002-05:00,0.13,0.87
7,2025-11-30 17:03:15.526353-05:00,0.14,0.86
8,2025-11-30 17:05:40.495317-05:00,0.14,0.86
9,2025-11-30 17:06:39.753137-05:00,0.13,0.87
10,2025-11-30 17:07:46.637269-05:00,0.14,0.86
11,2025-11-30 17:10:40.342440-05:00,0.13,0.87
12,2025-11-30 17:11:08.992977-05:00,0.14,0.86
13,2025-11-30 17:12:15.883139-05:00,0.135,0.865
14,2025-11-30 17:12:44.436114-05:00,0.135,0.865
15,2025-11-30 17:14:05.502635-05:00,0.14,0.86
16,2025-11-30 17:15:12.575981-05:00,0.13,0.87
17,2025-11-30 17:16:14.143193-05:00,0.135,0.865
18,2025-11-30 17:17:45.473982-05:00,0.14,0.86
19,2025-11-30 17:19:24.230382-05:00,0.14,0.86
20,2025-11-30 17:20:36.714393-05:00,0.14,0.86
21,2025-11-30 17:20:56.936508-05:00,0.13,0.87
22,2025-11-30 17:22:01.688851-05:00,0.14,0.86
23,2025-11-30 17:22:40.859163-05:00,0.14,0.86
24,2025-11-30 17:24:17.442070-05:00,0.16,0.84
25,2025-11-30 17:25:14.671402-05:00,0.165,0.835
26,2025-11-30 17:25:38.013316-05:00,0.17,0.83
27,2025-11-30 17:25:48.641405-05:00,0.17,0.83
28,2025-11-30 17:27:46.175065-05:00,0.165,0.835
29,2025-11-30 17:30:28.396190-05:00,0.17,0.83
30,2025-11-30 17:33:27.683093-05:00,0.17,0.83
31,2025-11-30 17:34:06.969332-05:00,0.165,0.835
32,2025-11-30 17:34:38.951629-05:00,0.17,0.83
33,2025-11-30 17:34:57.044896-05:00,0.16,0.84
34,2025-11-30 17:35:30.265760-05:00,0.165,0.835
